size	mean_time
10	2686
15	4081
22	3672
33	4529
49	4049
73	4658
109	5616
163	4552
244	5254
366	4440
549	5067
823	5815
1234	4843
1851	5686
2776	4710
4164	4696
6246	6189
9369	4671
14053	5779
21079	4264
31618	4446
47427	3687
71140	4516
106710	3546
160065	3982
240097	3262
360145	3665
540217	3379
810325	2895
