size	mean_time
10	1886
15	1658
22	1830
33	2301
49	2987
73	3028
109	2977
163	3542
244	2975
366	3457
549	3173
823	3409
1234	3693
1851	3084
2776	3553
4164	3503
6246	3392
9369	4028
14053	3134
21079	3740
31618	2310
47427	2312
71140	1910
106710	2525
160065	3122
240097	2399
360145	2102
540217	2302
810325	1712
