size	mean_time
10	1908
15	2846
22	2563
33	3260
49	3190
73	4073
109	3901
163	3416
244	3682
366	3074
549	3493
823	4247
1234	3313
1851	3989
2776	3516
4164	3629
6246	4381
9369	3477
14053	4266
21079	3586
31618	3772
47427	3185
71140	3552
106710	2593
160065	3074
240097	2410
360145	2660
540217	2169
810325	2058
