size	mean_time
10	943
15	1455
22	1530
33	1623
49	1395
73	1603
109	1919
163	1645
244	1860
366	1596
549	1760
823	2234
1234	1761
1851	2208
2776	1827
4164	1942
6246	2414
9369	1934
14053	2157
21079	1942
31618	2281
47427	1909
71140	2132
106710	2538
160065	2770
240097	2385
360145	2555
540217	1793
810325	1512
