size	mean_time
10	1138
15	1689
22	1628
33	2315
49	1728
73	2568
109	3375
163	2816
244	3182
366	2852
549	3016
823	3578
1234	3025
1851	3219
2776	2575
4164	3016
6246	4033
9369	2780
14053	3397
21079	2821
31618	3249
47427	2611
71140	3132
106710	2694
160065	2865
240097	2198
360145	2279
540217	1890
810325	1883
