size	mean_time
10	1265
15	1085
22	1628
33	1684
49	2145
73	1769
109	1888
163	2138
244	1882
366	2267
549	1914
823	2002
1234	2360
1851	1850
2776	2327
4164	2139
6246	2151
9369	2440
14053	1952
21079	2439
31618	1887
47427	2189
71140	2441
106710	2506
160065	3231
240097	1890
360145	1700
540217	1899
810325	1369
