size	mean_time
10	865
15	1154
22	1366
33	1462
49	1530
73	1879
109	1997
163	2033
244	2025
366	1960
549	2061
823	2026
1234	2047
1851	1982
2776	2051
4164	2223
6246	2034
9369	2007
14053	2184
21079	2223
31618	2295
47427	2331
71140	2364
106710	2253
160065	1831
240097	1887
360145	2102
540217	1655
810325	1238
