size	mean_time
10	1143
15	1676
22	2335
33	2480
49	2492
73	2717
109	2756
163	2826
244	2991
366	2974
549	3130
823	3598
1234	2989
1851	3502
2776	3687
4164	3616
6246	3594
9369	3617
14053	3554
21079	3164
31618	3837
47427	3743
71140	3767
106710	3914
160065	3222
240097	3023
360145	2811
540217	2762
810325	2420
