size	mean_time
10	1019
15	1680
22	1510
33	1846
49	1816
73	2715
109	2976
163	2355
244	2573
366	2509
549	2299
823	2610
1234	2108
1851	2460
2776	2807
4164	2883
6246	3518
9369	2715
14053	3084
21079	2537
31618	2429
47427	1992
71140	2194
106710	2092
160065	2595
240097	2173
360145	2246
540217	1813
810325	1615
