size	mean_time
10	574
15	781
22	1088
33	1080
49	1051
73	1140
109	1171
163	1158
244	1144
366	1137
549	1172
823	1229
1234	1292
1851	1311
2776	1228
4164	1284
6246	1254
9369	1295
14053	1377
21079	1342
31618	1380
47427	1669
71140	2226
106710	2093
160065	1678
240097	1737
360145	1810
540217	1665
810325	1305
