size	mean_time
10	1048
15	1642
22	1618
33	1798
49	1540
73	1839
109	2182
163	1829
244	2162
366	1790
549	2032
823	2360
1234	1933
1851	2229
2776	1949
4164	2451
6246	2995
9369	2954
14053	3471
21079	2784
31618	3167
47427	2596
71140	2915
106710	2406
160065	2788
240097	2302
360145	2353
540217	2341
810325	2239
