size	mean_time
10	823
15	795
22	1084
33	1295
49	1403
73	1424
109	1554
163	1609
244	1378
366	1548
549	1546
823	1496
1234	1734
1851	1424
2776	1613
4164	1463
6246	1501
9369	1825
14053	1470
21079	1681
31618	1410
47427	1618
71140	1552
106710	1571
160065	1835
240097	1546
360145	1553
540217	1561
810325	1479
