size	mean_time
10	1571
15	2551
22	2418
33	3045
49	2660
73	3294
109	3701
163	3007
244	3739
366	3098
549	3215
823	3477
1234	2597
1851	2909
2776	2484
4164	2829
6246	4042
9369	3287
14053	3634
21079	1959
31618	2226
47427	1947
71140	2402
106710	1980
160065	2334
240097	1865
360145	1733
540217	1375
810325	1067
