size	mean_time
10	1775
15	2473
22	2347
33	2638
49	2897
73	3524
109	3761
163	2814
244	4275
366	3146
549	3476
823	4440
1234	3335
1851	3920
2776	3269
4164	3557
6246	4344
9369	3261
14053	3695
21079	2752
31618	4127
47427	3236
71140	3424
106710	3122
160065	3331
240097	2894
360145	2599
540217	2099
810325	1778
